lat,lon,sst
4.9792,-169.9792,28.3000
4.9792,-169.9375,28.2700
4.9792,-169.8958,28.1400
4.9792,-169.8542,28.1600
4.9792,-169.8125,28.2600
4.9792,-169.7708,28.3150
4.9792,-169.7292,28.0900
4.9792,-169.6875,28.0050
4.9792,-169.6458,28.1450
4.9792,-169.6042,28.1300
4.9792,-169.5625,28.2250
4.9792,-169.5208,28.2450
4.9792,-169.4792,28.1350
4.9792,-169.4375,27.9900
4.9792,-169.3958,27.9300
4.9792,-169.3542,28.6550
4.9792,-169.3125,28.7500
4.9792,-169.2708,28.4550
4.9792,-169.2292,28.3650
4.9792,-169.1875,28.2150
4.9792,-169.1458,28.2150
4.9792,-169.1042,28.2050
4.9792,-169.0625,28.2650
4.9792,-169.0208,28.4750
4.9792,-168.9792,28.4800
4.9792,-168.9375,28.4800
4.9792,-168.8958,28.0100
4.9792,-168.8542,28.0600
4.9792,-168.8125,28.1200
4.9792,-168.7708,28.2150
4.9792,-168.7292,28.3250
4.9792,-168.6875,28.3100
4.9792,-168.6458,28.2250
4.9792,-168.6042,28.2500
4.9792,-168.5625,28.4150
4.9792,-168.5208,28.4200
4.9792,-168.4792,28.2550
4.9792,-168.4375,28.4200
4.9792,-168.3958,28.3350
4.9792,-168.3542,28.2150
4.9792,-168.3125,28.4350
4.9792,-168.2708,28.4650
4.9792,-168.2292,28.4150
4.9792,-168.1875,28.4600
4.9792,-168.1458,28.4350
4.9792,-168.1042,28.4900
4.9792,-168.0625,28.5600
4.9792,-168.0208,28.5550
4.9792,-167.9792,28.5950
4.9792,-167.9375,28.6100
4.9792,-167.8958,28.7250
4.9792,-167.8542,28.6850
4.9792,-167.8125,28.6600
4.9792,-167.7708,28.6350
4.9792,-167.7292,28.6300
4.9792,-167.6875,28.6450
4.9792,-167.6458,28.6700
4.9792,-167.6042,28.6500
4.9792,-167.5625,28.6450
4.9792,-167.5208,28.6200
4.9792,-167.4792,28.6900
4.9792,-167.4375,28.7350
4.9792,-167.3958,28.6350
4.9792,-167.3542,28.5250
4.9792,-167.3125,28.3950
4.9792,-167.2708,28.3700
4.9792,-167.2292,28.4000
4.9792,-167.1875,28.6300
4.9792,-167.1458,28.7000
4.9792,-167.1042,28.7000
4.9792,-167.0625,28.6400
4.9792,-167.0208,28.6250
4.9792,-166.9792,28.6800
4.9792,-166.9375,28.4400
4.9792,-166.8958,28.2950
4.9792,-166.8542,28.1150
4.9792,-166.8125,28.1500
4.9792,-166.7708,28.2600
4.9792,-166.7292,28.3150
4.9792,-166.6875,28.5050
4.9792,-166.6458,28.5800
4.9792,-166.6042,28.3900
4.9792,-166.5625,28.3350
4.9792,-166.5208,28.1900
4.9792,-166.4792,28.1150
4.9792,-166.4375,27.9500
4.9792,-166.3958,27.9800
4.9792,-166.3542,27.9150
4.9792,-166.3125,27.8650
4.9792,-166.2708,27.9250
4.9792,-166.2292,28.2900
4.9792,-166.1875,28.4500
4.9792,-166.1458,28.5000
4.9792,-166.1042,28.6500
4.9792,-166.0625,28.5250
4.9792,-166.0208,28.4250
4.9792,-165.9792,28.4250
4.9792,-165.9375,28.4550
4.9792,-165.8958,28.4200
4.9792,-165.8542,28.4850
4.9792,-165.8125,28.3800
4.9792,-165.7708,28.1800
4.9792,-165.7292,28.1600
4.9792,-165.6875,28.2550
4.9792,-165.6458,28.3450
4.9792,-165.6042,28.3800
4.9792,-165.5625,28.3950
4.9792,-165.5208,28.2700
4.9792,-165.4792,28.1550
4.9792,-165.4375,28.2350
4.9792,-165.3958,28.2850
4.9792,-165.3542,28.2000
4.9792,-165.3125,28.2250
4.9792,-165.2708,28.1300
4.9792,-165.2292,28.1900
4.9792,-165.1875,28.2450
4.9792,-165.1458,28.4100
4.9792,-165.1042,28.4000
4.9792,-165.0625,28.1700
4.9792,-165.0208,28.0500
4.9792,-164.9792,28.0950
4.9792,-164.9375,28.1900
4.9792,-164.8958,28.0950
4.9792,-164.8542,28.0700
4.9792,-164.8125,28.0850
4.9792,-164.7708,28.1800
4.9792,-164.7292,28.2200
4.9792,-164.6875,28.2300
4.9792,-164.6458,28.2550
4.9792,-164.6042,28.2350
4.9792,-164.5625,28.2600
4.9792,-164.5208,28.3600
4.9792,-164.4792,28.2950
4.9792,-164.4375,28.2550
4.9792,-164.3958,28.1900
4.9792,-164.3542,28.2300
4.9792,-164.3125,28.2050
4.9792,-164.2708,28.2100
4.9792,-164.2292,28.2300
4.9792,-164.1875,28.1600
4.9792,-164.1458,28.1950
4.9792,-164.1042,28.0250
4.9792,-164.0625,27.8850
4.9792,-164.0208,27.8350
4.9792,-163.9792,27.8950
4.9792,-163.9375,27.9400
4.9792,-163.8958,28.0100
