lat,lon,sst
9.9792,-139.9792,25.2900
9.9792,-139.9375,25.7200
9.9792,-139.8958,25.8650
9.9792,-139.8542,25.9900
9.9792,-139.8125,26.4250
9.9792,-139.7708,26.5750
9.9792,-139.7292,26.6100
9.9792,-139.6875,26.5750
9.9792,-139.6458,26.4100
9.9792,-139.6042,26.3850
9.9792,-139.5625,26.3800
9.9792,-139.5208,26.4150
9.9792,-139.4792,26.4150
9.9792,-139.3958,26.2800
9.9792,-139.3542,26.3050
9.9792,-139.3125,26.3500
9.9792,-139.2708,26.1650
9.9792,-139.2292,26.4150
9.9792,-139.1875,26.4050
9.9792,-139.1458,26.4750
9.9792,-139.1042,26.0250
9.9792,-139.0625,26.3650
9.9792,-139.0208,26.5100
9.9792,-138.9792,26.5600
9.9792,-138.9375,26.5100
9.9792,-138.8958,26.4650
9.9792,-138.8542,26.4250
9.9792,-138.8125,26.5400
9.9792,-138.7708,25.9200
9.9792,-138.7292,26.6250
9.9792,-138.6875,26.5800
9.9792,-138.6458,26.5300
9.9792,-138.6042,25.7050
9.9792,-138.5625,26.6100
9.9792,-138.5208,26.4650
9.9792,-138.4792,26.5850
9.9792,-138.4375,26.6200
9.9792,-138.3958,26.5750
9.9792,-138.3542,26.2500
9.9792,-138.3125,26.3450
9.9792,-138.2708,26.0300
9.9792,-138.2292,26.0700
9.9792,-138.1875,26.3700
9.9792,-138.1458,26.4700
9.9792,-138.1042,26.2350
9.9792,-138.0625,26.3850
9.9792,-138.0208,26.0950
9.9792,-137.9792,26.3350
9.9792,-137.9375,26.4700
9.9792,-137.8958,26.4800
9.9792,-137.7708,25.5600
9.9792,-137.7292,25.9950
9.9792,-137.6875,26.2500
9.9792,-137.6458,26.2650
9.9792,-137.6042,26.2300
9.9792,-134.2292,26.5450
9.9792,-134.1875,26.8000
9.9792,-134.1458,26.7400
9.9792,-134.1042,26.6650
9.9792,-134.0625,26.5800
9.9792,-122.1875,27.9350
9.9792,-122.1458,27.8050
9.9792,-122.1042,27.6300
9.9792,-122.0625,27.6050
9.9792,-121.5625,27.5100
9.9792,-121.5208,27.6750
9.9792,-121.4792,27.5600
9.9792,-121.4375,27.7800
9.9792,-121.3958,27.9250
9.9792,-121.3542,28.0650
9.9792,-121.3125,27.8400
9.9792,-121.2708,27.6400
9.9792,-121.2292,27.3900
9.9792,-121.1875,27.6300
9.9792,-121.1458,27.9150
9.9792,-120.9375,27.7300
9.9792,-120.8958,27.7300
9.9792,-120.6875,28.3000
9.9792,-120.6458,27.9450
9.9792,-120.6042,27.6250
9.9792,-120.5625,27.4600
9.9792,-120.5208,27.5200
9.9792,-120.4792,27.5300
9.9792,-120.4375,27.8900
9.9792,-120.3958,27.6700
9.9792,-120.3542,27.5200
9.9792,-120.3125,27.7100
9.9792,-120.2708,27.7750
9.9792,-120.2292,27.7850
9.9792,-120.1875,27.6550
9.9792,-120.1458,27.4550
9.9375,-139.9375,26.2000
9.9375,-139.8958,26.2100
9.9375,-139.8542,26.2200
9.9375,-139.8125,26.0800
9.9375,-139.7708,26.1000
9.9375,-139.7292,26.3550
9.9375,-139.6875,26.4000
9.9375,-139.6458,26.4250
9.9375,-139.6042,26.3750
9.9375,-139.5625,26.2900
9.9375,-139.5208,26.5500
9.9375,-139.4792,26.5750
9.9375,-139.4375,26.5900
9.9375,-139.3958,26.5150
9.9375,-139.3542,26.5600
9.9375,-139.3125,26.5300
9.9375,-139.2708,26.4450
9.9375,-139.2292,26.4700
9.9375,-139.1875,26.3850
9.9375,-139.1458,26.2900
9.9375,-139.1042,26.4100
9.9375,-139.0625,26.3850
9.9375,-139.0208,26.5800
9.9375,-138.9792,26.6550
9.9375,-138.9375,26.5650
9.9375,-138.8958,26.1600
9.9375,-138.8542,26.4800
9.9375,-138.8125,26.5300
9.9375,-138.7708,26.3150
9.9375,-138.7292,26.8100
9.9375,-138.6875,26.7800
9.9375,-138.6458,26.5150
9.9375,-138.6042,26.5150
9.9375,-138.5625,26.5000
9.9375,-138.5208,26.5950
9.9375,-138.4792,26.7100
9.9375,-138.4375,26.7100
9.9375,-138.3958,26.2850
9.9375,-138.3542,26.6250
9.9375,-138.3125,26.0800
9.9375,-138.2708,25.9100
9.9375,-138.2292,26.4650
9.9375,-138.1875,26.4350
9.9375,-138.1458,26.3050
9.9375,-138.1042,26.4450
9.9375,-138.0625,26.5000
9.9375,-138.0208,26.4500
9.9375,-137.9792,26.3700
9.9375,-137.9375,26.4350
9.9375,-137.8958,26.4550
9.9375,-137.7292,26.1400
9.9375,-137.6875,26.1800
9.9375,-137.6458,26.2700
9.9375,-137.6042,26.2250
9.9375,-137.5625,26.0900
9.9375,-134.1042,26.0850
9.9375,-134.0625,26.0850
9.9375,-122.2708,27.8750
9.9375,-122.2292,27.9150
9.9375,-122.1875,28.0200
9.9375,-122.1458,27.7650
9.9375,-122.0625,26.0900
9.9375,-122.0208,26.0900
9.9375,-121.6458,26.6750
9.9375,-121.6042,26.9600
9.9375,-121.5625,27.4950
9.9375,-121.5208,27.5300
9.9375,-121.4792,27.4500
9.9375,-121.4375,27.7550
9.9375,-121.3958,27.8900
9.9375,-121.3542,27.8800
9.9375,-121.3125,27.6350
9.9375,-121.2708,27.3700
9.9375,-121.2292,27.2300
9.9375,-121.1875,27.7050
9.9375,-121.1458,27.8250
9.9375,-121.1042,27.7950
9.9375,-120.6458,27.9700
9.9375,-120.6042,27.6400
9.9375,-120.5625,27.4600
9.9375,-120.5208,27.2900
9.9375,-120.4792,27.5150
9.9375,-120.4375,27.7250
9.9375,-120.3958,27.4900
9.9375,-120.3542,27.2050
9.9375,-120.3125,27.1550
9.9375,-120.2708,27.4100
9.9375,-120.2292,27.5550
9.9375,-120.1875,27.4700
9.9375,-120.1458,27.5600
9.8958,-139.9792,26.3850
9.8958,-139.9375,26.2650
9.8958,-139.8958,26.4100
9.8958,-139.8542,26.0950
9.8958,-139.8125,25.7400
9.8958,-139.7708,26.4600
9.8958,-139.7292,26.4550
9.8958,-139.6875,26.5900
9.8958,-139.6458,26.4100
9.8958,-139.6042,26.1350
9.8958,-139.5625,26.3050
9.8958,-139.5208,26.5450
9.8958,-139.4792,26.5800
9.8958,-139.4375,26.3350
9.8958,-139.3958,26.2400
9.8958,-139.3542,26.3400
9.8958,-139.3125,26.5150
9.8958,-139.2708,26.5400
9.8958,-139.2292,26.5700
9.8958,-139.1875,26.5800
9.8958,-139.1458,26.5650
9.8958,-139.1042,26.6100
9.8958,-139.0625,26.6500
9.8958,-139.0208,26.6400
9.8958,-138.9792,26.5700
9.8958,-138.9375,26.5400
9.8958,-138.8958,26.4700
9.8958,-138.8542,26.6500
9.8958,-138.8125,26.6850
9.8958,-138.7708,26.6450
9.8958,-138.7292,26.6300
9.8958,-138.6875,26.5600
9.8958,-138.6458,26.4000
9.8958,-138.6042,26.5950
9.8958,-138.5625,26.7700
9.8958,-138.5208,26.2200
9.8958,-138.4792,26.4600
9.8958,-138.4375,26.3850
9.8958,-138.3958,26.3850
9.8958,-138.3542,26.3950
9.8958,-138.3125,26.1750
9.8958,-138.2708,26.0650
9.8958,-138.2292,26.1400
9.8958,-138.1875,26.1100
9.8958,-138.1458,26.4450
9.8958,-138.1042,26.6100
9.8958,-138.0625,26.5350
9.8958,-138.0208,26.3550
9.8958,-137.9792,26.3150
9.8958,-137.9375,26.3150
9.8958,-137.8125,26.4300
9.8958,-137.7708,26.2900
9.8958,-137.7292,26.3500
9.8958,-137.6875,26.3650
9.8958,-137.6458,26.1250
9.8958,-137.6042,26.0000
9.8958,-122.3125,28.0650
9.8958,-122.2708,28.0050
9.8958,-122.2292,27.9500
9.8958,-122.1875,27.9450
9.8958,-122.1458,27.8150
9.8958,-121.9792,27.4100
9.8958,-121.9375,27.4150
9.8958,-121.8958,27.4300
9.8958,-121.6875,27.0500
9.8958,-121.6458,27.0750
9.8958,-121.6042,27.3250
9.8958,-121.5625,27.4050
9.8958,-121.5208,27.5500
9.8958,-121.4792,27.4300
9.8958,-121.4375,27.8500
9.8958,-121.3958,28.0550
