lat,lon,sst
4.9791665,-169.97917,28.3
4.9791665,-169.9375,28.269999
4.9791665,-169.89583,28.14
4.9791665,-169.85417,28.16
4.9791665,-169.8125,28.26
4.9791665,-169.77083,28.314999
4.9791665,-169.72917,28.09
4.9791665,-169.6875,28.005
4.9791665,-169.64583,28.144999
4.9791665,-169.60417,28.13
4.9791665,-169.5625,28.224998
4.9791665,-169.52083,28.244999
4.9791665,-169.47917,28.135
4.9791665,-169.4375,27.99
4.9791665,-169.39583,27.93
4.9791665,-169.35417,28.654999
4.9791665,-169.3125,28.75
4.9791665,-169.27083,28.455
4.9791665,-169.22917,28.365
4.9791665,-169.1875,28.215
4.9791665,-169.14583,28.215
4.9791665,-169.10417,28.205
4.9791665,-169.0625,28.265
4.9791665,-169.02083,28.474998
4.9791665,-168.97917,28.48
4.9791665,-168.9375,28.48
4.9791665,-168.89583,28.01
4.9791665,-168.85417,28.06
4.9791665,-168.8125,28.119999
4.9791665,-168.77083,28.215
4.9791665,-168.72917,28.324999
4.9791665,-168.6875,28.31
4.9791665,-168.64583,28.224998
4.9791665,-168.60417,28.25
4.9791665,-168.5625,28.414999
4.9791665,-168.52083,28.42
4.9791665,-168.47917,28.255
4.9791665,-168.4375,28.42
4.9791665,-168.39583,28.335
4.9791665,-168.35417,28.215
4.9791665,-168.3125,28.435
4.9791665,-168.27083,28.465
4.9791665,-168.22917,28.414999
4.9791665,-168.1875,28.46
4.9791665,-168.14583,28.435
4.9791665,-168.10417,28.49
4.9791665,-168.0625,28.56
4.9791665,-168.02083,28.555
4.9791665,-167.97917,28.595
4.9791665,-167.9375,28.609999
4.9791665,-167.89583,28.724998
4.9791665,-167.85417,28.685
4.9791665,-167.8125,28.66
4.9791665,-167.77083,28.635
4.9791665,-167.72917,28.63
4.9791665,-167.6875,28.644999
4.9791665,-167.64583,28.67
4.9791665,-167.60417,28.65
4.9791665,-167.5625,28.644999
4.9791665,-167.52083,28.619999
4.9791665,-167.47917,28.689999
4.9791665,-167.4375,28.734999
4.9791665,-167.39583,28.635
4.9791665,-167.35417,28.525
4.9791665,-167.3125,28.394999
4.9791665,-167.27083,28.369999
4.9791665,-167.22917,28.4
4.9791665,-167.1875,28.63
4.9791665,-167.14583,28.699999
4.9791665,-167.10417,28.699999
4.9791665,-167.0625,28.64
4.9791665,-167.02083,28.625
4.9791665,-166.97917,28.68
4.9791665,-166.9375,28.439999
4.9791665,-166.89583,28.295
4.9791665,-166.85417,28.115
4.9791665,-166.8125,28.15
4.9791665,-166.77083,28.26
4.9791665,-166.72917,28.314999
4.9791665,-166.6875,28.505
4.9791665,-166.64583,28.58
4.9791665,-166.60417,28.39
4.9791665,-166.5625,28.335
4.9791665,-166.52083,28.189999
4.9791665,-166.47917,28.115
4.9791665,-166.4375,27.949999
4.9791665,-166.39583,27.98
4.9791665,-166.35417,27.914999
4.9791665,-166.3125,27.865
4.9791665,-166.27083,27.925
4.9791665,-166.22917,28.289999
4.9791665,-166.1875,28.449999
4.9791665,-166.14583,28.5
4.9791665,-166.10417,28.65
4.9791665,-166.0625,28.525
4.9791665,-166.02083,28.425
4.9791665,-165.97917,28.425
4.9791665,-165.9375,28.455
4.9791665,-165.89583,28.42
4.9791665,-165.85417,28.484999
4.9791665,-165.8125,28.38
4.9791665,-165.77083,28.18
4.9791665,-165.72917,28.16
4.9791665,-165.6875,28.255
4.9791665,-165.64583,28.345
4.9791665,-165.60417,28.38
4.9791665,-165.5625,28.394999
4.9791665,-165.52083,28.269999
4.9791665,-165.47917,28.154999
4.9791665,-165.4375,28.234999
4.9791665,-165.39583,28.285
4.9791665,-165.35417,28.199999
4.9791665,-165.3125,28.224998
4.9791665,-165.27083,28.13
4.9791665,-165.22917,28.189999
4.9791665,-165.1875,28.244999
4.9791665,-165.14583,28.41
4.9791665,-165.10417,28.4
4.9791665,-165.0625,28.17
4.9791665,-165.02083,28.05
4.9791665,-164.97917,28.095
4.9791665,-164.9375,28.189999
4.9791665,-164.89583,28.095
4.9791665,-164.85417,28.07
4.9791665,-164.8125,28.085
4.9791665,-164.77083,28.18
4.9791665,-164.72917,28.22
4.9791665,-164.6875,28.23
4.9791665,-164.64583,28.255
4.9791665,-164.60417,28.234999
4.9791665,-164.5625,28.26
4.9791665,-164.52083,28.359999
4.9791665,-164.47917,28.295
4.9791665,-164.4375,28.255
4.9791665,-164.39583,28.189999
4.9791665,-164.35417,28.23
4.9791665,-164.3125,28.205
4.9791665,-164.27083,28.21
4.9791665,-164.22917,28.23
4.9791665,-164.1875,28.16
4.9791665,-164.14583,28.195
4.9791665,-164.10417,28.025
4.9791665,-164.0625,27.885
4.9791665,-164.02083,27.835
4.9791665,-163.97917,27.894999
4.9791665,-163.9375,27.939999
4.9791665,-163.89583,28.01
4.9791665,-163.85417,28.01
4.9791665,-163.8125,27.949999
4.9791665,-163.77083,27.98
