lat,lon,sst
4.8125,-169.9792,28.27
4.8125,-169.7708,28.50
4.8125,-169.5625,28.09
4.8125,-169.3542,28.70
4.8125,-169.1458,28.48
4.8125,-168.9375,28.24
4.8125,-168.7292,27.94
4.8125,-168.5208,27.83
4.8125,-168.3125,27.96
4.8125,-168.1042,28.43
4.8125,-167.8958,28.45
4.8125,-167.6875,28.55
4.8125,-167.4792,28.55
4.8125,-167.2708,28.83
4.8125,-167.0625,28.18
4.8125,-166.8542,28.56
4.8125,-166.6458,28.55
4.8125,-166.4375,28.25
4.8125,-166.2292,28.11
4.8125,-166.0208,28.34
4.8125,-165.8125,28.41
4.8125,-165.6042,28.40
4.8125,-165.3958,28.04
4.8125,-165.1875,28.08
4.8125,-164.9792,28.32
4.8125,-164.7708,28.22
4.8125,-164.5625,28.15
4.8125,-164.3542,28.19
4.8125,-164.1458,28.15
4.8125,-163.9375,28.11
4.8125,-163.7292,28.12
4.8125,-163.5208,28.16
4.8125,-163.3125,28.01
4.8125,-163.1042,27.80
4.8125,-162.8958,27.43
4.8125,-162.6875,27.93
4.8125,-162.4792,27.29
4.8125,-162.2708,27.68
4.8125,-162.0625,27.78
4.8125,-161.8542,27.77
4.8125,-161.6458,27.46
4.8125,-161.4375,27.68
4.8125,-161.2292,27.70
4.8125,-161.0208,27.88
4.8125,-160.8125,27.71
4.8125,-160.6042,27.93
4.8125,-160.3958,27.73
4.8125,-160.1875,27.64
4.8125,-159.9792,28.37
4.8125,-159.7708,27.65
4.8125,-159.5625,27.69
4.8125,-159.3542,27.87
4.8125,-159.1458,27.75
4.8125,-158.9375,27.80
4.8125,-158.7292,27.93
4.8125,-158.5208,27.92
4.8125,-158.3125,27.93
4.8125,-158.1042,27.89
4.8125,-157.8958,27.86
4.8125,-157.6875,28.11
4.8125,-157.4792,27.80
4.8125,-157.2708,27.75
4.8125,-157.0625,27.74
4.8125,-156.8542,27.86
4.8125,-156.6458,27.78
4.8125,-156.4375,28.11
4.8125,-156.2292,28.12
4.8125,-156.0208,28.17
4.8125,-155.8125,28.01
4.8125,-155.6042,28.11
4.8125,-155.3958,28.00
4.8125,-155.1875,27.96
4.8125,-154.9792,27.65
4.8125,-154.7708,27.84
4.8125,-154.5625,27.59
4.8125,-154.3542,27.90
4.8125,-154.1458,28.13
4.8125,-153.9375,28.28
4.8125,-153.7292,28.01
4.8125,-153.5208,28.15
4.8125,-153.3125,27.98
4.8125,-153.1042,28.05
4.8125,-152.8958,27.91
4.8125,-152.6875,27.75
4.8125,-152.4792,27.86
4.8125,-152.2708,27.82
4.8125,-152.0625,27.92
4.8125,-151.8542,27.82
4.8125,-151.6458,27.88
4.8125,-151.4375,27.86
4.8125,-151.2292,27.64
4.8125,-151.0208,27.81
4.8125,-150.8125,28.39
4.8125,-150.6042,28.49
4.8125,-150.3958,27.65
4.8125,-150.1875,27.77
4.8125,-149.9792,28.14
4.8125,-149.7708,28.66
4.8125,-149.5625,28.77
4.8125,-149.3542,27.22
4.8125,-149.1458,28.32
4.8125,-148.9375,27.93
4.8125,-148.7292,28.20
4.8125,-148.5208,27.95
4.8125,-148.3125,28.31
4.8125,-148.1042,28.46
4.8125,-147.8958,28.24
4.8125,-147.6875,28.14
4.8125,-147.4792,28.19
4.8125,-147.2708,28.22
4.8125,-147.0625,28.32
4.8125,-146.8542,27.96
4.8125,-146.6458,27.93
4.8125,-146.4375,28.09
4.8125,-146.2292,27.93
4.8125,-146.0208,27.75
4.8125,-145.8125,28.05
4.8125,-145.6042,28.09
4.8125,-145.3958,28.14
4.8125,-145.1875,28.15
4.8125,-144.9792,28.14
4.8125,-144.7708,28.15
4.8125,-144.5625,28.03
4.8125,-144.3542,27.99
4.8125,-144.1458,28.14
4.8125,-143.9375,28.36
4.8125,-143.7292,28.46
4.8125,-143.5208,28.34
4.8125,-143.3125,28.24
4.8125,-143.1042,28.32
4.8125,-142.8958,27.89
4.8125,-142.6875,28.25
4.8125,-142.4792,27.63
4.8125,-142.2708,27.82
4.8125,-142.0625,27.97
4.8125,-141.8542,28.16
4.8125,-141.6458,28.27
4.8125,-141.4375,28.28
4.8125,-141.2292,28.23
4.8125,-141.0208,28.25
4.8125,-140.8125,28.14
4.8125,-140.6042,28.13
4.8125,-140.3958,27.99
4.8125,-140.1875,27.88
4.8125,-139.9792,28.04
4.8125,-139.7708,28.20
4.8125,-139.5625,28.48
4.8125,-139.3542,28.39
4.8125,-139.1458,28.27
4.8125,-138.9375,28.01
4.8125,-138.7292,28.12
4.8125,-138.5208,28.71
4.8125,-138.3125,28.57
4.8125,-138.1042,28.05
4.8125,-137.8958,28.01
4.8125,-137.6875,27.95
4.8125,-137.4792,28.25
4.8125,-137.2708,28.34
4.8125,-137.0625,28.05
4.8125,-136.8542,28.09
4.8125,-136.6458,28.53
4.8125,-136.4375,28.21
4.8125,-136.2292,28.05
4.8125,-136.0208,27.91
4.8125,-135.8125,28.31
4.8125,-135.6042,28.07
4.8125,-135.3958,28.07
4.8125,-135.1875,28.46
4.8125,-134.9792,28.41
4.8125,-134.7708,28.24
4.8125,-134.5625,28.50
4.8125,-134.3542,28.05
4.8125,-134.1458,27.99
4.8125,-133.9375,27.87
4.8125,-133.7292,28.01
4.8125,-133.5208,28.06
4.8125,-133.3125,27.90
4.8125,-133.1042,28.26
4.8125,-132.8958,28.09
4.8125,-132.6875,28.27
4.8125,-132.4792,28.46
4.8125,-132.2708,28.29
4.8125,-132.0625,28.29
4.8125,-131.8542,28.31
4.8125,-131.6458,28.50
4.8125,-131.4375,28.35
4.8125,-131.2292,28.10
